id,strategy,stratum,x,y,margin,in_mask,verdict,note
0,random,missed_candidate,580,943,-0.6451612710952759,0,x,demo-judge:model
1,random,missed_candidate,1642,804,-11.066666603088379,0,x,demo-judge:model
2,random,missed_candidate,256,1073,-12.533333778381348,0,x,demo-judge:model
3,random,missed_candidate,1884,41,-5.066666603088379,0,x,demo-judge:model
4,random,detected,1096,676,0.19354838132858276,1,o,demo-judge:model
5,random,missed_candidate,1898,1115,-12.533333778381348,0,x,demo-judge:model
6,random,detected,1092,649,0.2709677219390869,1,o,demo-judge:model
7,random,detected,977,557,0.47567570209503174,1,x,demo-judge:model
8,random,detected,779,693,0.25806450843811035,1,o,demo-judge:model
9,random,missed_candidate,541,1094,-12.0,0,x,demo-judge:model
10,random,missed_candidate,694,1113,-11.066666603088379,0,x,demo-judge:model
11,random,detected,832,737,0.12903225421905518,1,o,demo-judge:model
12,random,missed_candidate,321,855,-12.266666412353516,0,x,demo-judge:model
13,random,missed_candidate,1220,670,-12.0,0,x,demo-judge:model
14,random,detected,1092,675,0.3096774220466614,1,o,demo-judge:model
15,random,missed_candidate,1273,404,-1.0322580337524414,0,x,demo-judge:model
16,random,missed_candidate,1047,796,-0.2666666507720947,0,x,demo-judge:model
17,random,missed_candidate,453,499,-0.5548386573791504,0,x,demo-judge:model
18,random,missed_candidate,1429,992,-10.0,0,x,demo-judge:model
19,random,detected,1011,546,0.32258063554763794,1,o,demo-judge:model
20,random,detected,1129,713,0.2709677219390869,1,x,demo-judge:model
21,random,missed_candidate,139,186,-8.666666984558105,0,x,demo-judge:model
22,random,missed_candidate,899,583,-8.666666984558105,0,x,demo-judge:model
23,random,detected,780,697,0.37419354915618896,1,o,demo-judge:model
24,random,missed_candidate,1946,788,-0.6451612710952759,0,x,demo-judge:model
25,random,detected,1135,687,0.3999999761581421,1,x,demo-judge:model
26,random,detected,1084,735,0.28387099504470825,1,o,demo-judge:model
27,random,detected,966,657,0.16774195432662964,1,o,demo-judge:model
28,random,missed_candidate,1544,1126,-11.066666603088379,0,x,demo-judge:model
29,random,detected,776,730,0.32258063554763794,1,o,demo-judge:model
30,random,missed_candidate,1591,1093,-12.133333206176758,0,x,demo-judge:model
31,random,missed_candidate,428,1194,-12.399999618530273,0,x,demo-judge:model
32,random,missed_candidate,179,362,-6.666666507720947,0,x,demo-judge:model
33,random,detected,777,729,0.32258063554763794,1,o,demo-judge:model
34,random,detected,1076,722,0.24864864349365234,1,o,demo-judge:model
35,random,missed_candidate,1288,720,-11.466666221618652,0,x,demo-judge:model
36,random,detected,816,712,0.32258063554763794,1,o,demo-judge:model
37,random,missed_candidate,1756,403,-6.800000190734863,0,x,demo-judge:model
38,random,detected,1038,555,0.34838712215423584,1,o,demo-judge:model
39,random,missed_candidate,649,1149,-11.733333587646484,0,x,demo-judge:model
40,random,missed_candidate,1987,1191,-12.133333206176758,0,x,demo-judge:model
41,random,detected,1061,739,0.37419354915618896,1,o,demo-judge:model
42,random,detected,1088,739,0.2967742085456848,1,o,demo-judge:model
43,random,missed_candidate,2002,219,-10.133333206176758,0,x,demo-judge:model
44,random,missed_candidate,62,220,-1.1096773147583008,0,x,demo-judge:model
45,random,detected,1122,720,0.4216216206550598,1,o,demo-judge:model
46,random,missed_candidate,1557,78,-9.600000381469727,0,x,demo-judge:model
47,random,detected,949,690,0.34838712215423584,1,x,demo-judge:model
48,random,missed_candidate,407,817,-12.133333206176758,0,x,demo-judge:model
49,random,detected,990,569,0.2709677219390869,1,o,demo-judge:model
50,random,missed_candidate,454,671,-11.466666221618652,0,x,demo-judge:model
51,random,missed_candidate,1191,346,-2.799999952316284,0,x,demo-judge:model
52,random,detected,1161,743,0.3870967626571655,1,o,demo-judge:model
53,random,missed_candidate,1214,1102,-11.066666603088379,0,x,demo-judge:model
54,random,missed_candidate,1058,653,-3.1999998092651367,0,x,demo-judge:model
55,random,detected,963,674,0.3354838490486145,1,o,demo-judge:model
56,random,missed_candidate,320,1379,-12.533333778381348,0,x,demo-judge:model
57,random,missed_candidate,1479,791,-0.9032257795333862,0,x,demo-judge:model
58,random,detected,842,727,0.1548386812210083,1,o,demo-judge:model
59,random,detected,1028,579,0.03870970010757446,1,o,demo-judge:model
60,random,detected,1031,727,0.1548386812210083,1,o,demo-judge:model
61,random,missed_candidate,1258,804,-10.266666412353516,0,x,demo-judge:model
62,random,detected,1028,765,0.3243243098258972,1,o,demo-judge:model
63,random,detected,1023,730,0.42580646276474,1,o,demo-judge:model
64,random,missed_candidate,1028,924,-11.466666221618652,0,x,demo-judge:model
65,random,detected,780,699,0.3870967626571655,1,o,demo-judge:model
66,random,detected,828,715,0.32258063554763794,1,o,demo-judge:model
67,random,missed_candidate,1093,73,-0.8129032850265503,0,x,demo-judge:model
68,random,detected,804,678,0.34594595432281494,1,o,demo-judge:model
69,random,detected,937,608,0.20645159482955933,1,o,demo-judge:model
70,random,detected,912,584,0.2451612949371338,1,x,demo-judge:model
71,random,detected,1042,588,0.10322582721710205,1,o,demo-judge:model
72,random,detected,1163,744,0.2451612949371338,1,x,demo-judge:model
73,random,detected,834,718,0.2967742085456848,1,o,demo-judge:model
74,random,detected,1168,751,0.20645159482955933,1,o,demo-judge:model
75,random,missed_candidate,427,82,-0.8645161390304565,0,x,demo-judge:model
76,random,missed_candidate,1904,622,-0.9935483932495117,0,x,demo-judge:model
77,random,missed_candidate,1037,938,-10.0,0,x,demo-judge:model
78,random,detected,813,677,0.34594595432281494,1,o,demo-judge:model
79,random,detected,797,735,0.2451612949371338,1,o,demo-judge:model
80,random,missed_candidate,1824,626,-1.0064516067504883,0,x,demo-judge:model
81,random,detected,982,720,-0.2709677219390869,1,o,demo-judge:model
82,random,detected,977,594,0.22702699899673462,1,o,demo-judge:model
83,random,missed_candidate,1156,320,-7.733333587646484,0,x,demo-judge:model
84,random,detected,1073,729,0.32258063554763794,1,o,demo-judge:model
85,random,detected,1035,558,0.20645159482955933,1,o,demo-judge:model
86,random,missed_candidate,1770,153,-8.533333778381348,0,x,demo-judge:model
87,random,missed_candidate,1672,1365,-12.0,0,x,demo-judge:model
88,random,missed_candidate,1187,138,-4.400000095367432,0,x,demo-judge:model
89,random,missed_candidate,656,809,-11.066666603088379,0,x,demo-judge:model
90,random,detected,1015,764,0.3999999761581421,1,o,demo-judge:model
91,random,detected,1001,548,0.2709677219390869,1,o,demo-judge:model
92,random,missed_candidate,339,1164,-12.533333778381348,0,x,demo-judge:model
93,random,detected,1077,724,0.3612903356552124,1,o,demo-judge:model
94,random,detected,797,678,0.3675675392150879,1,o,demo-judge:model
95,random,detected,983,558,-0.29677414894104004,1,o,demo-judge:model
96,random,missed_candidate,2078,897,-5.4666666984558105,0,x,demo-judge:model
97,random,missed_candidate,1408,440,-8.666666984558105,0,x,demo-judge:model
98,random,detected,1091,667,0.21935486793518066,1,o,demo-judge:model
99,random,missed_candidate,1711,300,-9.333333015441895,0,x,demo-judge:model
