id,strategy,stratum,x,y,margin,in_mask,verdict,note
0,uncertain,missed_candidate,948,602,0.0,0,x,demo-judge:model
1,uncertain,missed_candidate,574,605,0.0,0,x,demo-judge:model
2,uncertain,missed_candidate,1951,831,0.0,0,x,demo-judge:model
3,uncertain,missed_candidate,1628,1135,0.0,0,x,demo-judge:model
4,uncertain,detected,233,49,0.025806427001953125,1,x,demo-judge:model
5,uncertain,missed_candidate,1268,97,0.0,0,x,demo-judge:model
6,uncertain,detected,1165,744,0.012903213500976562,1,o,demo-judge:model
7,uncertain,detected,1069,628,0.0,1,o,demo-judge:model
8,uncertain,detected,1077,642,0.025806427001953125,1,o,demo-judge:model
9,uncertain,missed_candidate,759,352,0.0,0,x,demo-judge:model
10,uncertain,missed_candidate,943,212,0.0,0,x,demo-judge:model
11,uncertain,detected,1015,719,0.03870970010757446,1,o,demo-judge:model
12,uncertain,missed_candidate,932,91,0.0,0,x,demo-judge:model
13,uncertain,missed_candidate,690,331,0.0,0,x,demo-judge:model
14,uncertain,detected,223,50,0.012903213500976562,1,x,demo-judge:model
15,uncertain,missed_candidate,756,335,0.0,0,x,demo-judge:model
16,uncertain,missed_candidate,682,158,0.0,0,x,demo-judge:model
17,uncertain,missed_candidate,1010,669,0.0,0,x,demo-judge:model
18,uncertain,missed_candidate,142,155,0.0,0,x,demo-judge:model
19,uncertain,detected,1061,620,0.0,1,o,demo-judge:model
20,uncertain,detected,1056,614,0.025806427001953125,1,o,demo-judge:model
21,uncertain,missed_candidate,37,55,0.0,0,x,demo-judge:model
22,uncertain,missed_candidate,447,490,0.0,0,x,demo-judge:model
23,uncertain,detected,1075,634,0.025806427001953125,1,o,demo-judge:model
24,uncertain,missed_candidate,1017,677,0.0,0,o,demo-judge:model
25,uncertain,detected,986,647,0.025806427001953125,1,x,demo-judge:model
26,uncertain,detected,1083,585,0.03870970010757446,1,o,demo-judge:model
27,uncertain,detected,1049,605,0.012903213500976562,1,o,demo-judge:model
28,uncertain,missed_candidate,1008,300,0.0,0,x,demo-judge:model
29,uncertain,detected,1065,761,0.025806427001953125,1,x,demo-judge:model
30,uncertain,missed_candidate,804,51,0.0,0,x,demo-judge:model
31,uncertain,missed_candidate,328,112,0.0,0,x,demo-judge:model
32,uncertain,missed_candidate,1318,480,0.0,0,x,demo-judge:model
33,uncertain,detected,1066,617,0.025806427001953125,1,o,demo-judge:model
34,uncertain,detected,1064,616,0.025806427001953125,1,o,demo-judge:model
35,uncertain,missed_candidate,239,46,0.0,0,x,demo-judge:model
36,uncertain,detected,1048,603,0.025806427001953125,1,o,demo-judge:model
37,uncertain,missed_candidate,981,724,0.0,0,o,demo-judge:model
38,uncertain,detected,221,69,0.0,1,x,demo-judge:model
39,uncertain,missed_candidate,330,59,0.0,0,x,demo-judge:model
40,uncertain,missed_candidate,140,160,0.0,0,x,demo-judge:model
41,uncertain,detected,1075,630,0.03870970010757446,1,o,demo-judge:model
42,uncertain,detected,1074,641,0.03870970010757446,1,o,demo-judge:model
43,uncertain,missed_candidate,809,176,0.0,0,x,demo-judge:model
44,uncertain,missed_candidate,774,330,0.0,0,x,demo-judge:model
45,uncertain,detected,1064,618,0.025806427001953125,1,o,demo-judge:model
46,uncertain,missed_candidate,832,485,0.0,0,x,demo-judge:model
47,uncertain,detected,1008,547,0.025806427001953125,1,o,demo-judge:model
48,uncertain,missed_candidate,853,75,0.0,0,x,demo-judge:model
49,uncertain,detected,1107,690,0.0,1,x,demo-judge:model
50,uncertain,missed_candidate,262,46,0.0,0,x,demo-judge:model
51,uncertain,missed_candidate,1007,673,0.0,0,x,demo-judge:model
52,uncertain,detected,1006,549,0.03870970010757446,1,o,demo-judge:model
53,uncertain,missed_candidate,1065,624,0.0,0,o,demo-judge:model
54,uncertain,missed_candidate,668,331,0.0,0,x,demo-judge:model
55,uncertain,detected,235,59,0.012903213500976562,1,x,demo-judge:model
56,uncertain,missed_candidate,803,341,0.0,0,x,demo-judge:model
57,uncertain,missed_candidate,1674,634,0.0,0,x,demo-judge:model
58,uncertain,detected,1060,618,0.025806427001953125,1,o,demo-judge:model
59,uncertain,detected,1143,741,0.012903213500976562,1,o,demo-judge:model
60,uncertain,detected,1119,718,0.025806427001953125,1,o,demo-judge:model
61,uncertain,missed_candidate,788,164,0.0,0,x,demo-judge:model
62,uncertain,detected,1036,587,0.03870970010757446,1,o,demo-judge:model
63,uncertain,detected,1067,619,0.025806427001953125,1,o,demo-judge:model
64,uncertain,missed_candidate,305,102,0.0,0,x,demo-judge:model
65,uncertain,detected,1131,692,0.025806427001953125,1,x,demo-judge:model
66,uncertain,detected,968,710,-0.025806427001953125,1,o,demo-judge:model
67,uncertain,missed_candidate,744,307,0.0,0,x,demo-judge:model
68,uncertain,detected,1113,654,0.025806427001953125,1,o,demo-judge:model
69,uncertain,detected,1000,544,-0.012903213500976562,1,o,demo-judge:model
70,uncertain,detected,1042,597,0.012903213500976562,1,o,demo-judge:model
71,uncertain,detected,1067,622,0.012903213500976562,1,o,demo-judge:model
