epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8398,2.24367,2.95857,1.13891,0.10761,0.69397,0.61891,0.6506,0.27293,1.30521,4.84086,0.71218,0.03017,0.000663265,0.000663265,0.000663265
2,83.24,1.79524,1.32314,1.02026,0.01481,0.69646,0.63897,0.66676,0.27675,1.30126,2.26461,0.7349,0.00262,0.00131677,0.00131677,0.00131677
3,113.653,1.75518,1.2317,1.00872,0.00968,0.72372,0.61546,0.65001,0.25082,1.39598,1.49843,0.75937,0.00432,0.00195707,0.00195707,0.00195707
4,144.318,1.71094,1.1795,1.00776,0.00625,0.63376,0.63324,0.6496,0.32261,1.11821,4.22027,0.70072,0.00301,0.0019406,0.0019406,0.0019406
5,175.192,1.66438,1.13628,0.98498,0.00582,0.7277,0.62025,0.70803,0.31623,1.21109,2.3553,0.679,0.00341,0.0019208,0.0019208,0.0019208
6,205.859,1.6347,1.10293,0.97621,0.00646,0.69835,0.68326,0.72138,0.34502,1.13642,2.3134,0.67134,0.00396,0.001901,0.001901,0.001901
7,236.14,1.60483,1.0737,0.97441,0.00588,0.68648,0.69914,0.72105,0.33336,1.24797,5.49704,0.69215,0.00365,0.0018812,0.0018812,0.0018812
8,266.614,1.6008,1.06258,0.96252,0.00526,0.73558,0.68481,0.75504,0.35999,1.12282,1.40541,0.67219,0.00437,0.0018614,0.0018614,0.0018614
9,297.032,1.57699,1.02951,0.96556,0.00564,0.72158,0.65616,0.73089,0.36915,1.0823,1.93293,0.67124,0.0036,0.0018416,0.0018416,0.0018416
10,327.8,1.56515,1.03269,0.94164,0.00543,0.7935,0.71567,0.77985,0.37263,1.12429,2.36673,0.67265,0.00388,0.0018218,0.0018218,0.0018218
11,358.279,1.54916,1.02597,0.9603,0.00583,0.74227,0.69054,0.7669,0.36173,1.12965,2.01731,0.66711,0.00397,0.001802,0.001802,0.001802
12,388.837,1.53542,1.01291,0.94324,0.00562,0.75732,0.74217,0.81302,0.40232,1.06694,2.17365,0.66109,0.00359,0.0017822,0.0017822,0.0017822
13,418.928,1.52924,0.99223,0.95623,0.00601,0.83054,0.67622,0.79868,0.41277,1.10154,1.49841,0.65191,0.00609,0.0017624,0.0017624,0.0017624
14,449.119,1.5109,0.98612,0.94369,0.00591,0.74055,0.74785,0.79816,0.39987,1.0979,1.79356,0.66313,0.0036,0.0017426,0.0017426,0.0017426
15,479.5,1.50604,0.98074,0.94276,0.00585,0.75304,0.73392,0.79431,0.36963,1.1919,2.27002,0.65329,0.00359,0.0017228,0.0017228,0.0017228
16,509.716,1.48359,0.9634,0.94888,0.00614,0.76154,0.70462,0.77144,0.39038,1.07466,1.68041,0.67415,0.00421,0.001703,0.001703,0.001703
17,540.608,1.48989,0.96903,0.93641,0.00574,0.76308,0.7106,0.76192,0.38283,1.10535,1.94485,0.66582,0.00346,0.0016832,0.0016832,0.0016832
18,571.842,1.49516,0.96201,0.94312,0.00604,0.84333,0.72779,0.82116,0.41611,1.11204,2.28863,0.66757,0.00486,0.0016634,0.0016634,0.0016634
19,602.888,1.48795,0.98124,0.94175,0.00607,0.7287,0.73884,0.79445,0.4135,1.03724,1.94597,0.65377,0.00479,0.0016436,0.0016436,0.0016436
20,633.721,1.47448,0.93864,0.94302,0.00618,0.74063,0.74212,0.78135,0.39709,1.0837,2.95633,0.66258,0.00403,0.0016238,0.0016238,0.0016238
21,664.483,1.46251,0.94969,0.93546,0.00617,0.72813,0.73926,0.77091,0.40508,1.09553,2.60296,0.67089,0.00298,0.001604,0.001604,0.001604
22,695.389,1.46134,0.94224,0.94162,0.00593,0.82576,0.68768,0.80002,0.40094,1.06951,1.41898,0.64257,0.00454,0.0015842,0.0015842,0.0015842
23,726.233,1.46139,0.93895,0.93563,0.00634,0.77161,0.7192,0.78436,0.36113,1.21949,2.07051,0.64717,0.00374,0.0015644,0.0015644,0.0015644
24,757.001,1.46622,0.93667,0.93778,0.00621,0.78562,0.73504,0.80522,0.37201,1.17712,1.55737,0.64761,0.00392,0.0015446,0.0015446,0.0015446
