epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8567,2.00038,2.74435,1.15889,0.09699,0.72464,0.62178,0.6604,0.31355,1.174,4.37183,0.7396,0.00709,0.000663265,0.000663265,0.000663265
2,51.42,1.49546,0.99377,1.05556,0.00919,0.72577,0.59599,0.63431,0.31442,1.1487,1.57014,0.72514,0.00997,0.00131677,0.00131677,0.00131677
3,76.1082,1.40284,0.86584,1.0146,0.0071,0.65215,0.56405,0.58961,0.27472,1.16669,1.9839,0.71325,0.00457,0.00195707,0.00195707,0.00195707
4,100.723,1.3562,0.82834,0.99698,0.00749,0.69429,0.57593,0.62235,0.30261,1.16395,1.64604,0.71537,0.00436,0.0019406,0.0019406,0.0019406
5,126.667,1.29167,0.77461,0.97223,0.00695,0.67186,0.6447,0.63061,0.28841,1.21021,5.05038,0.68933,0.00456,0.0019208,0.0019208,0.0019208
6,151.563,1.22035,0.71038,0.95694,0.0067,0.71559,0.59837,0.60329,0.29964,1.20104,1.85476,0.6833,0.00835,0.001901,0.001901,0.001901
7,176.29,1.18406,0.68386,0.94617,0.00723,0.72071,0.62178,0.65152,0.29407,1.21665,1.6829,0.67975,0.02863,0.0018812,0.0018812,0.0018812
8,200.22,1.14726,0.66062,0.94201,0.00733,0.69934,0.65982,0.65218,0.31813,1.13745,1.70938,0.66827,0.01106,0.0018614,0.0018614,0.0018614
9,224.906,1.09742,0.61307,0.93493,0.00721,0.71758,0.67908,0.68976,0.34148,1.1968,1.58478,0.67442,0.0081,0.0018416,0.0018416,0.0018416
10,249.622,1.0743,0.60525,0.93126,0.0072,0.63277,0.63037,0.63708,0.2858,1.21386,2.2207,0.68232,0.00877,0.0018218,0.0018218,0.0018218
11,274.695,1.0495,0.58712,0.92432,0.00714,0.7349,0.66762,0.70121,0.34439,1.15333,1.63096,0.65354,0.00979,0.001802,0.001802,0.001802
12,299.537,1.00716,0.5581,0.91837,0.00711,0.70791,0.69443,0.70571,0.35024,1.14216,1.42208,0.66077,0.00925,0.0017822,0.0017822,0.0017822
13,324.004,0.98585,0.54319,0.91451,0.00744,0.6978,0.65043,0.64174,0.30242,1.19704,1.96123,0.6779,0.00811,0.0017624,0.0017624,0.0017624
14,348.693,0.97473,0.53003,0.91165,0.00747,0.73916,0.59274,0.62578,0.31007,1.16992,2.50234,0.6642,0.00931,0.0017426,0.0017426,0.0017426
15,373.231,0.94011,0.50601,0.90716,0.00772,0.77613,0.52722,0.54855,0.28112,1.06832,1.75037,0.60702,0.00686,0.0017228,0.0017228,0.0017228
16,398.306,0.92691,0.51051,0.90925,0.00805,0.72024,0.59026,0.59547,0.29488,1.15189,7.63355,0.67354,0.00829,0.001703,0.001703,0.001703
17,423.674,0.91697,0.50531,0.90443,0.00764,0.68929,0.67335,0.64723,0.31317,1.22813,2.98894,0.63913,0.02642,0.0016832,0.0016832,0.0016832
18,448.574,0.89549,0.48754,0.90211,0.00784,0.71579,0.62464,0.61849,0.28337,1.27223,2.32891,0.68019,0.01105,0.0016634,0.0016634,0.0016634
19,473.332,0.88796,0.47918,0.90254,0.00794,0.69663,0.63324,0.6136,0.30306,1.16496,2.66305,0.65676,0.00987,0.0016436,0.0016436,0.0016436
