epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5704,5.06589,9.10802,2.74737,0.30652,0.19484,0.13181,0.07228,0.01924,2.01101,13.7078,0.7868,0.01777,0.000663265,0.000663265,0.000663265
2,63.8713,2.54188,2.29258,1.16493,0.01114,0.48815,0.41261,0.37719,0.10346,1.6663,4.97886,0.72686,0.00522,0.00131677,0.00131677,0.00131677
3,95.1376,2.30938,1.82673,1.1137,0.00696,0.50284,0.455,0.4153,0.15874,1.33676,6.85877,0.71971,0.00737,0.00195707,0.00195707,0.00195707
4,126.699,2.1847,1.62454,1.10371,0.00614,0.55958,0.54155,0.53421,0.18848,1.5356,5.56396,0.69315,0.00603,0.0019406,0.0019406,0.0019406
5,157.882,2.08082,1.5171,1.1051,0.0059,0.70326,0.52966,0.60267,0.23874,1.41908,4.1634,0.68344,0.00292,0.0019208,0.0019208,0.0019208
6,189.523,1.9969,1.42376,1.07641,0.00516,0.56396,0.54477,0.54689,0.25161,1.28525,2.47187,0.68636,0.0023,0.001901,0.001901,0.001901
7,221.059,1.93722,1.36478,1.08557,0.00452,0.58001,0.5616,0.57002,0.26471,1.25698,5.40689,0.67727,0.00368,0.0018812,0.0018812,0.0018812
8,252.114,1.92164,1.35032,1.07389,0.00504,0.61224,0.54728,0.56051,0.27391,1.2551,3.22256,0.66486,0.00309,0.0018614,0.0018614,0.0018614
9,282.787,1.88919,1.27997,1.06094,0.00426,0.69254,0.62178,0.65073,0.31517,1.2149,3.10778,0.6654,0.00207,0.0018416,0.0018416,0.0018416
10,314.156,1.86702,1.26729,1.04927,0.0051,0.62022,0.55587,0.57436,0.27781,1.14325,2.95003,0.68887,0.00313,0.0018218,0.0018218,0.0018218
11,345.22,1.83547,1.2499,1.05522,0.00485,0.60956,0.63324,0.60753,0.29972,1.16576,4.90876,0.67375,0.00277,0.001802,0.001802,0.001802
12,376.413,1.82199,1.23651,1.05252,0.00534,0.63902,0.6239,0.6036,0.29188,1.12344,3.54231,0.69102,0.00341,0.0017822,0.0017822,0.0017822
13,407.28,1.79074,1.19122,1.05201,0.00542,0.65757,0.65477,0.64055,0.31635,1.17288,3.57109,0.66299,0.00286,0.0017624,0.0017624,0.0017624
14,437.809,1.7679,1.17742,1.04199,0.00522,0.69965,0.5788,0.65077,0.32712,1.13827,3.15021,0.67429,0.00363,0.0017426,0.0017426,0.0017426
15,468.586,1.76703,1.17109,1.03865,0.00529,0.68031,0.62194,0.64874,0.30825,1.22812,2.63959,0.65749,0.00314,0.0017228,0.0017228,0.0017228
16,499.64,1.73187,1.14291,1.04487,0.00523,0.62697,0.59885,0.60933,0.29959,1.14852,2.37405,0.67082,0.00347,0.001703,0.001703,0.001703
17,530.524,1.75007,1.15663,1.03692,0.00543,0.62873,0.65021,0.64467,0.30636,1.20644,2.65723,0.65048,0.00251,0.0016832,0.0016832,0.0016832
18,561.433,1.73412,1.13609,1.03828,0.00528,0.61321,0.59962,0.61299,0.31136,1.14134,2.97137,0.66489,0.00332,0.0016634,0.0016634,0.0016634
19,592.421,1.71288,1.14343,1.0306,0.00571,0.69171,0.6533,0.69604,0.34868,1.12734,3.72848,0.67375,0.00408,0.0016436,0.0016436,0.0016436
20,623.435,1.70779,1.10603,1.03679,0.00544,0.59739,0.61605,0.61552,0.30581,1.14134,3.89136,0.67239,0.00285,0.0016238,0.0016238,0.0016238
21,654.461,1.69214,1.10056,1.03185,0.00582,0.6855,0.66189,0.68755,0.35537,1.13853,3.60635,0.65725,0.00367,0.001604,0.001604,0.001604
22,685.697,1.68815,1.09765,1.02794,0.0057,0.6849,0.68195,0.72404,0.36853,1.11719,2.20761,0.66274,0.00373,0.0015842,0.0015842,0.0015842
23,716.846,1.68356,1.08859,1.02357,0.00602,0.66624,0.65204,0.66975,0.32529,1.16117,3.37366,0.65832,0.00338,0.0015644,0.0015644,0.0015644
24,748.514,1.69135,1.09184,1.02593,0.00577,0.69597,0.65592,0.66954,0.34047,1.14096,2.45606,0.65743,0.00407,0.0015446,0.0015446,0.0015446
25,779.481,1.65962,1.09113,1.02819,0.00608,0.71427,0.66189,0.7103,0.34971,1.20668,5.18856,0.6489,0.00467,0.0015248,0.0015248,0.0015248
26,810.866,1.66279,1.06835,1.02045,0.00584,0.68293,0.68481,0.69642,0.34524,1.17619,4.01861,0.64162,0.00419,0.001505,0.001505,0.001505
27,842.724,1.65309,1.056,1.01797,0.00623,0.72186,0.64756,0.69503,0.33907,1.19271,3.8929,0.64887,0.0038,0.0014852,0.0014852,0.0014852
28,874.09,1.65036,1.05252,1.01748,0.0062,0.62929,0.67335,0.6813,0.3496,1.1507,3.51835,0.65114,0.00458,0.0014654,0.0014654,0.0014654
29,905.288,1.64385,1.04965,1.02276,0.00624,0.73499,0.71521,0.76659,0.38744,1.15187,2.54598,0.64592,0.00395,0.0014456,0.0014456,0.0014456
30,936.242,1.62164,1.04483,1.01499,0.00623,0.72038,0.6361,0.68656,0.34031,1.12478,2.74335,0.65387,0.00509,0.0014258,0.0014258,0.0014258
31,967.149,1.62125,1.04208,1.01605,0.00607,0.74673,0.68481,0.73509,0.38007,1.14787,2.94133,0.64861,0.00453,0.001406,0.001406,0.001406
32,998.54,1.6455,1.05487,1.0129,0.00689,0.66492,0.69341,0.71312,0.36844,1.15682,3.35349,0.64595,0.00489,0.0013862,0.0013862,0.0013862
33,1029.64,1.61922,1.03051,1.00992,0.00598,0.76644,0.62997,0.72268,0.3578,1.16051,2.83898,0.64572,0.00403,0.0013664,0.0013664,0.0013664
34,1060.49,1.62206,1.04176,1.01211,0.00656,0.71076,0.68195,0.71525,0.37815,1.12344,3.23916,0.64987,0.00457,0.0013466,0.0013466,0.0013466
35,1091.34,1.60251,1.02848,1.02143,0.00631,0.71718,0.70774,0.75405,0.37848,1.15727,2.92475,0.64566,0.00458,0.0013268,0.0013268,0.0013268
36,1122.37,1.59976,1.01946,1.00367,0.00695,0.71542,0.73474,0.7624,0.40109,1.11828,2.75377,0.64387,0.00496,0.001307,0.001307,0.001307
37,1153.64,1.6136,1.00654,1.01141,0.00629,0.72087,0.71633,0.74986,0.3632,1.19437,3.04088,0.64,0.00511,0.0012872,0.0012872,0.0012872
38,1184.64,1.60345,1.00796,1.00745,0.00646,0.74134,0.69804,0.73229,0.3786,1.14112,2.45235,0.64146,0.00519,0.0012674,0.0012674,0.0012674
39,1215.77,1.59311,0.99476,1.01529,0.00649,0.68012,0.70774,0.72548,0.36793,1.17329,3.47834,0.64135,0.00455,0.0012476,0.0012476,0.0012476
40,1246.77,1.58867,0.9988,0.99872,0.00655,0.7334,0.7173,0.74448,0.35613,1.18983,3.51288,0.63933,0.00487,0.0012278,0.0012278,0.0012278
41,1277.79,1.58063,0.99369,1.01248,0.00672,0.71842,0.73105,0.7546,0.39271,1.12501,3.08633,0.6454,0.00457,0.001208,0.001208,0.001208
42,1308.74,1.56973,0.99973,1.00165,0.00686,0.71121,0.71975,0.76295,0.40084,1.07095,4.28969,0.64971,0.00504,0.0011882,0.0011882,0.0011882
43,1339.63,1.56204,1.00363,1.00183,0.00668,0.77424,0.737,0.79388,0.40775,1.12777,2.80986,0.63711,0.0047,0.0011684,0.0011684,0.0011684
44,1370.68,1.56266,0.99754,1.00364,0.00674,0.67868,0.69914,0.71769,0.3602,1.13148,3.08707,0.63392,0.00428,0.0011486,0.0011486,0.0011486
45,1401.58,1.55273,1.00997,0.99897,0.00693,0.77059,0.71224,0.77481,0.40492,1.08142,3.14065,0.63655,0.00577,0.0011288,0.0011288,0.0011288
46,1432.38,1.5252,0.98958,0.99394,0.00705,0.77953,0.66866,0.75244,0.38725,1.10479,3.65132,0.63681,0.00521,0.001109,0.001109,0.001109
47,1463.27,1.53575,0.98819,0.98616,0.00675,0.76907,0.70612,0.76935,0.38799,1.13861,2.80436,0.62762,0.00506,0.0010892,0.0010892,0.0010892
48,1494.2,1.53402,1.00629,0.98325,0.00646,0.78075,0.66322,0.76844,0.39812,1.1076,2.89145,0.6284,0.00488,0.0010694,0.0010694,0.0010694
49,1525.2,1.52418,0.99704,0.98998,0.00698,0.80333,0.7106,0.7873,0.40558,1.09005,2.82545,0.62949,0.0054,0.0010496,0.0010496,0.0010496
