epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8962,2.05817,2.30336,1.13227,0.07664,0.59238,0.68292,0.67027,0.2951,1.31174,6.38017,0.75056,0.00686,0.000663265,0.000663265,0.000663265
2,81.4954,1.70261,1.1829,1.02409,0.00811,0.69366,0.69628,0.70937,0.344,1.29566,1.70074,0.7174,0.00394,0.00131677,0.00131677,0.00131677
3,115.934,1.68519,1.13497,0.99658,0.00688,0.64361,0.58453,0.63397,0.21169,1.53345,6.47893,0.70208,0.00299,0.00195707,0.00195707,0.00195707
4,150.137,1.65647,1.11673,0.9832,0.0064,0.61192,0.6551,0.6861,0.34376,1.12441,8.33607,0.67858,0.00437,0.0019406,0.0019406,0.0019406
5,184.473,1.59325,1.07135,0.96657,0.00612,0.68305,0.7163,0.7355,0.36298,1.02397,2.204,0.6794,0.00416,0.0019208,0.0019208,0.0019208
6,218.793,1.5775,1.02953,0.96524,0.00605,0.64373,0.6361,0.65897,0.31456,1.11895,2.51055,0.6712,0.00328,0.001901,0.001901,0.001901
7,253.234,1.53967,1.00733,0.96127,0.00625,0.80312,0.73066,0.82082,0.39138,1.14867,2.43784,0.65515,0.00357,0.0018812,0.0018812,0.0018812
8,287.579,1.53859,1.00141,0.95172,0.00559,0.68186,0.7106,0.73628,0.35978,1.18449,2.34525,0.65978,0.00404,0.0018614,0.0018614,0.0018614
9,322.238,1.52657,0.9735,0.95479,0.00615,0.71536,0.69628,0.76212,0.38542,1.07087,2.16386,0.65954,0.00435,0.0018416,0.0018416,0.0018416
10,357.018,1.51119,0.97756,0.93418,0.00587,0.80902,0.73639,0.8289,0.4431,1.01477,1.20378,0.66611,0.0036,0.0018218,0.0018218,0.0018218
11,391.535,1.50877,0.97887,0.95055,0.0061,0.76505,0.68112,0.76499,0.33091,1.23343,3.36726,0.64678,0.00515,0.001802,0.001802,0.001802
12,425.803,1.48202,0.95998,0.93293,0.00562,0.80833,0.69914,0.80827,0.39917,1.1034,1.99583,0.65382,0.00385,0.0017822,0.0017822,0.0017822
13,460.168,1.47969,0.93984,0.94525,0.00607,0.75626,0.78223,0.83758,0.42967,1.0586,2.43702,0.66132,0.00469,0.0017624,0.0017624,0.0017624
14,494.689,1.4548,0.93191,0.93675,0.00637,0.75102,0.77077,0.83078,0.40451,1.10842,2.43235,0.64741,0.00468,0.0017426,0.0017426,0.0017426
15,528.984,1.46809,0.91502,0.93629,0.00586,0.75419,0.73848,0.79748,0.3867,1.12602,2.49764,0.65908,0.00434,0.0017228,0.0017228,0.0017228
16,563.492,1.43502,0.91336,0.94091,0.00637,0.77644,0.70656,0.77584,0.38364,1.0561,1.82043,0.6807,0.00431,0.001703,0.001703,0.001703
17,597.922,1.44388,0.92236,0.92868,0.00607,0.80587,0.70201,0.80742,0.41434,1.03386,2.55503,0.67209,0.00375,0.0016832,0.0016832,0.0016832
18,632.557,1.43906,0.90796,0.93578,0.0063,0.80265,0.71087,0.79754,0.39545,1.0938,2.58255,0.6603,0.00437,0.0016634,0.0016634,0.0016634
19,666.883,1.43151,0.92417,0.93429,0.00682,0.69835,0.74785,0.79515,0.42737,1.02997,3.44483,0.66245,0.00566,0.0016436,0.0016436,0.0016436
20,701.312,1.41825,0.88644,0.93534,0.00631,0.77882,0.67622,0.7656,0.38903,1.05772,4.24904,0.66593,0.00408,0.0016238,0.0016238,0.0016238
21,735.715,1.41183,0.89512,0.92873,0.0063,0.71607,0.72493,0.79797,0.41423,1.06072,2.63749,0.65437,0.00403,0.001604,0.001604,0.001604
22,770.461,1.40888,0.88756,0.93655,0.00631,0.73156,0.73926,0.78547,0.39256,1.08957,2.0005,0.65004,0.00425,0.0015842,0.0015842,0.0015842
23,804.967,1.41198,0.89231,0.92935,0.00629,0.78595,0.71633,0.80348,0.40856,1.08412,2.36271,0.64884,0.00508,0.0015644,0.0015644,0.0015644
24,839.563,1.41378,0.88568,0.93203,0.00658,0.80063,0.73641,0.82142,0.40013,1.09082,1.79772,0.65405,0.00481,0.0015446,0.0015446,0.0015446
25,874.16,1.3939,0.88161,0.92605,0.00633,0.80549,0.67622,0.78757,0.38547,1.1468,3.2188,0.65249,0.00478,0.0015248,0.0015248,0.0015248
26,908.636,1.40224,0.8756,0.9339,0.00658,0.78466,0.7192,0.80386,0.41623,1.0521,2.58252,0.66193,0.00522,0.001505,0.001505,0.001505
27,943.183,1.39033,0.86844,0.93364,0.00703,0.79747,0.66565,0.80212,0.41362,1.03491,2.21334,0.64459,0.00617,0.0014852,0.0014852,0.0014852
28,977.678,1.38295,0.8566,0.92615,0.00668,0.80408,0.76438,0.83664,0.43809,1.04779,2.57673,0.66647,0.00439,0.0014654,0.0014654,0.0014654
29,1012.34,1.37773,0.86411,0.92645,0.00638,0.83755,0.72389,0.834,0.42599,1.07564,2.1019,0.65882,0.00475,0.0014456,0.0014456,0.0014456
30,1046.83,1.37345,0.86,0.9303,0.00669,0.80947,0.7192,0.81542,0.40891,1.08656,2.2374,0.65154,0.00443,0.0014258,0.0014258,0.0014258
31,1081.58,1.36685,0.85185,0.92198,0.00651,0.77077,0.76504,0.80644,0.41964,1.03435,2.45925,0.65453,0.00453,0.001406,0.001406,0.001406
32,1116.14,1.3849,0.86855,0.91931,0.00699,0.79486,0.73275,0.8256,0.40756,1.13307,2.7425,0.65507,0.0052,0.0013862,0.0013862,0.0013862
33,1150.27,1.36864,0.85127,0.9293,0.00689,0.80772,0.75931,0.83249,0.42177,1.07432,2.15288,0.6545,0.0054,0.0013664,0.0013664,0.0013664
34,1184.72,1.3678,0.85945,0.92567,0.00706,0.7977,0.76832,0.82569,0.41183,1.11432,2.70999,0.66423,0.00486,0.0013466,0.0013466,0.0013466
35,1219.37,1.35741,0.85051,0.92194,0.00696,0.81019,0.72161,0.81914,0.43542,1.00647,2.72417,0.65743,0.00498,0.0013268,0.0013268,0.0013268
36,1253.65,1.34707,0.83812,0.92031,0.00692,0.76767,0.76689,0.82652,0.42642,1.00437,1.95162,0.66033,0.00546,0.001307,0.001307,0.001307
37,1287.92,1.35524,0.82565,0.92554,0.00686,0.75822,0.77364,0.81079,0.40821,1.09418,2.06813,0.64804,0.00489,0.0012872,0.0012872,0.0012872
38,1322.18,1.35707,0.82949,0.91709,0.00668,0.78697,0.77269,0.83326,0.43495,1.02508,2.23994,0.65717,0.00471,0.0012674,0.0012674,0.0012674
39,1356.34,1.3418,0.8231,0.92649,0.00679,0.75878,0.74785,0.80705,0.41874,1.07051,1.97714,0.65178,0.00511,0.0012476,0.0012476,0.0012476
40,1390.85,1.35952,0.83704,0.9193,0.00708,0.79112,0.7054,0.79109,0.36962,1.13104,2.50847,0.66648,0.00541,0.0012278,0.0012278,0.0012278
41,1425.11,1.34221,0.82902,0.92023,0.00713,0.76296,0.79656,0.84586,0.42827,1.0842,2.20556,0.65935,0.00503,0.001208,0.001208,0.001208
42,1459.37,1.33103,0.82151,0.92063,0.00707,0.80995,0.74499,0.83752,0.4356,1.07181,2.2297,0.65698,0.00555,0.0011882,0.0011882,0.0011882
43,1493.56,1.33665,0.82776,0.92165,0.00658,0.80826,0.77937,0.85708,0.43623,1.06932,1.67839,0.65125,0.00542,0.0011684,0.0011684,0.0011684
44,1528.06,1.34475,0.83104,0.91715,0.00707,0.79486,0.73277,0.82427,0.41115,1.10456,1.96617,0.6598,0.00498,0.0011486,0.0011486,0.0011486
45,1562.37,1.3218,0.81659,0.91996,0.00711,0.82885,0.7106,0.82743,0.43983,1.01178,2.07675,0.65999,0.00536,0.0011288,0.0011288,0.0011288
46,1596.62,1.32324,0.81366,0.92772,0.00737,0.79978,0.78797,0.86138,0.45931,1.04334,2.00721,0.65788,0.00569,0.001109,0.001109,0.001109
47,1630.85,1.33065,0.80921,0.92066,0.00735,0.82008,0.75751,0.83943,0.42598,1.07317,2.29351,0.65787,0.00544,0.0010892,0.0010892,0.0010892
48,1665.35,1.32983,0.8144,0.91548,0.0072,0.83423,0.73542,0.84514,0.43386,1.06327,1.8268,0.65937,0.00563,0.0010694,0.0010694,0.0010694
49,1699.82,1.3226,0.81351,0.91807,0.00733,0.83324,0.76218,0.85072,0.45821,1.05874,1.98177,0.64967,0.00603,0.0010496,0.0010496,0.0010496
50,1734.14,1.31631,0.81074,0.91486,0.00742,0.76842,0.79083,0.84674,0.43228,1.04915,1.79155,0.65463,0.00609,0.0010298,0.0010298,0.0010298
51,1768.55,1.32819,0.80247,0.91593,0.00768,0.7835,0.76735,0.84368,0.44561,1.03332,2.3904,0.65423,0.00627,0.00101,0.00101,0.00101
52,1803.22,1.31874,0.80579,0.9142,0.00715,0.80518,0.77364,0.84533,0.43651,1.05032,1.74631,0.66662,0.00571,0.0009902,0.0009902,0.0009902
53,1837.39,1.31195,0.80492,0.92076,0.00691,0.79164,0.74029,0.8156,0.43104,1.07954,2.244,0.65317,0.00603,0.0009704,0.0009704,0.0009704
54,1871.85,1.31704,0.80414,0.91812,0.00742,0.83307,0.73066,0.83653,0.44916,1.03219,1.95497,0.65221,0.00574,0.0009506,0.0009506,0.0009506
55,1906.36,1.29975,0.78751,0.91593,0.00714,0.84422,0.74212,0.84479,0.43938,1.04842,1.56,0.65707,0.00569,0.0009308,0.0009308,0.0009308
