image_id,port,official,portwise
100000001,murmansk,train,excluded
100000002,murmansk,train,excluded
100000003,murmansk,test,excluded
100000004,murmansk,train,excluded
100000005,murmansk,test,excluded
100000006,murmansk,val,excluded
100000007,murmansk,train,excluded
100000008,murmansk,train,excluded
100000009,murmansk,train,excluded
100000010,murmansk,val,excluded
100000011,murmansk,train,excluded
100000622,everett,val,test
100000623,everett,test,test
100000624,everett,test,test
100000625,everett,test,test
100000626,everett,test,test
100000627,everett,val,test
100000628,everett,test,test
100000629,everett,val,test
100000630,everett,test,test
100000631,everett,train,test
100000632,everett,train,test
100000633,everett,test,test
100000634,everett,test,test
100000635,everett,test,test
100000636,everett,val,test
100000637,everett,val,test
100000638,everett,train,test
100000639,everett,test,test
100000640,everett,val,test
100000641,everett,val,test
100000642,everett,train,test
100000643,everett,test,test
100000644,everett,val,test
100000645,everett,test,test
100000646,everett,train,test
100000647,everett,test,test
100000648,everett,test,test
100000649,everett,val,test
100000650,everett,test,test
100000651,everett,train,test
100000652,everett,val,test
100000653,everett,test,test
100000654,everett,test,test
100000655,everett,train,test
100000656,everett,test,test
100000657,everett,val,test
100000658,everett,test,test
100000659,everett,test,test
100000660,everett,train,test
100000661,everett,test,test
100000662,everett,train,test
100000663,everett,test,test
100000664,everett,train,test
100000665,everett,val,test
100000666,everett,test,test
100000667,everett,train,test
100000668,everett,train,test
100000669,everett,train,test
100000670,everett,train,test
100000671,everett,test,test
100000672,everett,test,test
100000673,everett,test,test
100000674,everett,test,test
100000675,everett,train,test
100000676,everett,test,test
100000677,everett,test,test
100000678,everett,val,test
100000679,everett,test,test
100000680,everett,test,test
100000681,everett,train,test
100000682,everett,train,test
100000683,everett,val,test
100000684,everett,val,test
100000685,everett,test,test
100000686,everett,test,test
100000687,everett,train,test
100000688,everett,test,test
100000689,everett,val,test
100000690,everett,test,test
100000691,everett,train,test
100000692,everett,val,test
100000693,everett,train,test
100000694,everett,val,test
100000695,everett,test,test
100000696,everett,test,test
100000697,everett,test,test
100000698,everett,test,test
100000699,newport,val,test
100000700,newport,test,test
100000701,newport,train,test
100000702,newport,test,test
100000703,newport,train,test
100000704,newport,val,test
100000705,newport,train,test
100000706,newport,test,test
100000707,newport,test,test
100000708,newport,test,test
100000709,newport,train,test
100000710,newport,test,test
100000711,newport,train,test
100000712,newport,train,test
100000713,newport,test,test
100000714,newport,train,test
100000715,newport,val,test
100000716,newport,test,test
100000717,newport,val,test
100000718,newport,test,test
100000719,newport,train,test
100000720,newport,test,test
100000721,newport,train,test
100000722,newport,test,test
100000723,newport,val,test
100000724,newport,train,test
100000725,newport,test,test
100000726,mayport,train,val
100000727,mayport,train,val
100000728,mayport,test,val
100000729,mayport,test,val
100000730,mayport,val,val
100000731,mayport,test,val
100000732,mayport,test,val
100000733,mayport,train,val
100000734,mayport,val,val
100000735,mayport,test,val
100000736,mayport,test,val
100000737,mayport,train,val
100000738,mayport,val,val
100000739,mayport,test,val
100000740,mayport,test,val
100000741,mayport,train,val
100000742,mayport,val,val
100000743,mayport,train,val
100000744,mayport,val,val
100000745,mayport,test,val
100000746,mayport,test,val
100000747,mayport,test,val
100000748,mayport,train,val
100000749,mayport,train,val
100000750,mayport,train,val
100000751,mayport,test,val
100000752,mayport,test,val
100000753,mayport,val,val
100000754,mayport,train,val
100000755,mayport,train,val
100000756,mayport,train,val
