epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0208,2.69709,2.80129,3.56685,0.11139,0,0,0,0,0,0,0,0,0.000642857,0.000642857,0.000642857
2,34.2306,2.17047,1.88769,2.51829,0.06874,0,0,0,0,0,0,0,0,0.00129017,0.00129017,0.00129017
3,50.7517,2.11653,1.90229,2.46357,0.06908,0,0,0,0,0,0,0,0,0.00191779,0.00191779,0.00191779
4,66.584,2.10236,1.91664,2.41577,0.06777,0,0,0,0,0,0,0,0,0.00191134,0.00191134,0.00191134
5,82.1733,1.99571,1.8646,2.36324,0.0667,0,0,0,0,0,0,0,0,0.00188179,0.00188179,0.00188179
6,97.925,1.96541,1.8277,2.26168,0.05889,0,0,0,0,0,0,0,0,0.00185224,0.00185224,0.00185224
7,113.967,1.99453,1.85364,2.16874,0.06246,0,0,0,0,0,0,0,0,0.00182269,0.00182269,0.00182269
8,129.987,1.86431,1.77521,2.05906,0.05669,0,0,0,0,0,0,0,0,0.00179313,0.00179313,0.00179313
9,145.959,1.90144,1.80249,2.11458,0.05577,0,0,0,0,0,0,0,0,0.00176358,0.00176358,0.00176358
10,161.965,1.84716,1.74843,2.07354,0.0573,0,0,0,0,0,0,0,0,0.00173403,0.00173403,0.00173403
11,178.063,1.85248,1.75038,2.06152,0.05314,0,0,0,0,0,0,0,0,0.00170448,0.00170448,0.00170448
12,194.063,1.83008,1.69643,2.05264,0.04885,0,0,0,0,0,0,0,0,0.00167493,0.00167493,0.00167493
13,210.025,1.79425,1.68069,2.01019,0.04742,0,0,0,0,0,0,0,0,0.00164537,0.00164537,0.00164537
14,226.002,1.75764,1.63028,1.99075,0.04635,0,0,0,0,0,0,0,0,0.00161582,0.00161582,0.00161582
15,242.026,1.75191,1.6323,1.95532,0.04274,0,0,0,0,0,0,0,0,0.00158627,0.00158627,0.00158627
16,258.116,1.71859,1.58626,1.96817,0.04643,0,0,0,0,0,0,0,0,0.00155672,0.00155672,0.00155672
17,274.115,1.75483,1.58951,1.99139,0.04569,0,0,0,0,0,0,0,0,0.00152716,0.00152716,0.00152716
18,290.16,1.68948,1.57915,1.97128,0.04378,0,0,0,0,0,0,0,0,0.00149761,0.00149761,0.00149761
19,306.104,1.73969,1.59254,2.01614,0.0445,0,0,0,0,0,0,0,0,0.00146806,0.00146806,0.00146806
20,321.962,1.66965,1.52171,1.91588,0.03936,0,0,0,0,0,0,0,0,0.00143851,0.00143851,0.00143851
21,337.825,1.66074,1.50625,1.89728,0.03938,0,0,0,0,0,0,0,0,0.00140896,0.00140896,0.00140896
22,353.818,1.66572,1.5458,1.90029,0.04156,0,0,0,0,0,0,0,0,0.0013794,0.0013794,0.0013794
23,369.738,1.63048,1.51434,1.88349,0.0408,0,0,0,0,0,0,0,0,0.00134985,0.00134985,0.00134985
24,385.794,1.63491,1.45816,1.86939,0.0384,0,0,0,0,0,0,0,0,0.0013203,0.0013203,0.0013203
25,401.845,1.62735,1.45744,1.86944,0.03966,0,0,0,0,0,0,0,0,0.00129075,0.00129075,0.00129075
26,417.858,1.66439,1.48039,1.90633,0.04418,0,0,0,0,0,0,0,0,0.00126119,0.00126119,0.00126119
27,433.854,1.60648,1.45197,1.85119,0.03831,0,0,0,0,0,0,0,0,0.00123164,0.00123164,0.00123164
28,449.827,1.61173,1.48331,1.86309,0.04634,0,0,0,0,0,0,0,0,0.00120209,0.00120209,0.00120209
29,465.762,1.63916,1.44483,1.88407,0.04389,0,0,0,0,0,0,0,0,0.00117254,0.00117254,0.00117254
30,481.702,1.58061,1.40868,1.8496,0.03788,0,0,0,0,0,0,0,0,0.00114299,0.00114299,0.00114299
