epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1667,2.65857,2.8053,3.51037,0.11586,0,0,0,0,0,0,0,0,0.000642857,0.000642857,0.000642857
2,32.9575,2.22971,1.96963,2.59482,0.08438,0,0,0,0,0,0,0,0,0.00129017,0.00129017,0.00129017
3,48.6338,2.14016,1.91496,2.44069,0.0754,0,0,0,0,0,0,0,0,0.00191779,0.00191779,0.00191779
4,64.3388,2.08241,1.90888,2.3066,0.07311,0,0,0,0,0,0,0,0,0.00191134,0.00191134,0.00191134
5,80.0504,2.01709,1.88612,2.31215,0.07426,0,0,0,0,0,0,0,0,0.00188179,0.00188179,0.00188179
6,95.8041,2.0165,1.87945,2.24489,0.0708,0,0,0,0,0,0,0,0,0.00185224,0.00185224,0.00185224
7,111.629,1.95046,1.82122,2.16299,0.06388,0,0,0,0,0,0,0,0,0.00182269,0.00182269,0.00182269
8,127.464,1.87766,1.75208,2.07564,0.059,0,0,0,0,0,0,0,0,0.00179313,0.00179313,0.00179313
9,143.3,1.88292,1.74328,2.10599,0.05537,0,0,0,0,0,0,0,0,0.00176358,0.00176358,0.00176358
10,159.109,1.95245,1.77767,2.11201,0.0614,0,0,0,0,0,0,0,0,0.00173403,0.00173403,0.00173403
11,174.981,1.84245,1.77844,2.06451,0.05876,0,0,0,0,0,0,0,0,0.00170448,0.00170448,0.00170448
12,190.802,1.82505,1.7133,2.00558,0.05384,0,0,0,0,0,0,0,0,0.00167493,0.00167493,0.00167493
13,206.624,1.8094,1.67862,2.03468,0.04796,0,0,0,0,0,0,0,0,0.00164537,0.00164537,0.00164537
14,222.496,1.77597,1.68995,1.9444,0.04731,0,0,0,0,0,0,0,0,0.00161582,0.00161582,0.00161582
15,238.378,1.77358,1.66174,1.97246,0.04903,0,0,0,0,0,0,0,0,0.00158627,0.00158627,0.00158627
16,254.247,1.8097,1.68782,2.00359,0.05363,0,0,0,0,0,0,0,0,0.00155672,0.00155672,0.00155672
