epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5502,2.32091,2.38741,3.63933,0.06059,0,0,0,0,0,0,0,0,0.000642857,0.000642857,0.000642857
2,32.0357,2.06587,1.77201,2.62119,0.06103,0,0,0,0,0,0,0,0,0.00129017,0.00129017,0.00129017
3,47.5006,2.04445,1.74666,2.51833,0.0591,0,0,0,0,0,0,0,0,0.00191779,0.00191779,0.00191779
4,63.0626,1.95533,1.75671,2.4972,0.05903,0,0,0,0,0,0,0,0,0.00191134,0.00191134,0.00191134
5,78.621,1.88183,1.71376,2.27919,0.05159,0,0,0,0,0,0,0,0,0.00188179,0.00188179,0.00188179
6,94.1817,1.8511,1.71944,2.22113,0.05391,0,0,0,0,0,0,0,0,0.00185224,0.00185224,0.00185224
7,109.821,1.85866,1.66574,2.13978,0.04921,0,0,0,0,0,0,0,0,0.00182269,0.00182269,0.00182269
8,125.547,1.84402,1.63385,2.08725,0.04999,0,0,0,0,0,0,0,0,0.00179313,0.00179313,0.00179313
9,141.337,1.82738,1.67293,2.08291,0.054,0,0,0,0,0,0,0,0,0.00176358,0.00176358,0.00176358
10,157.051,1.81756,1.62042,2.07255,0.04939,0,0,0,0,0,0,0,0,0.00173403,0.00173403,0.00173403
11,172.825,1.77622,1.58435,2.01045,0.04788,0,0,0,0,0,0,0,0,0.00170448,0.00170448,0.00170448
12,188.635,1.75924,1.60745,1.98256,0.04432,0,0,0,0,0,0,0,0,0.00167493,0.00167493,0.00167493
13,204.493,1.72452,1.57459,1.97023,0.04226,0,0,0,0,0,0,0,0,0.00164537,0.00164537,0.00164537
14,220.358,1.69203,1.59003,1.97317,0.04301,0,0,0,0,0,0,0,0,0.00161582,0.00161582,0.00161582
15,236.215,1.67994,1.51049,1.96505,0.04256,0,0,0,0,0,0,0,0,0.00158627,0.00158627,0.00158627
16,252.157,1.63155,1.44566,1.91566,0.03439,0,0,0,0,0,0,0,0,0.00155672,0.00155672,0.00155672
17,268.062,1.67462,1.482,1.92016,0.03998,0,0,0,0,0,0,0,0,0.00152716,0.00152716,0.00152716
18,284.02,1.6837,1.53668,1.95804,0.04045,0,0,0,0,0,0,0,0,0.00149761,0.00149761,0.00149761
19,299.848,1.6408,1.48566,1.88202,0.03756,0,0,0,0,0,0,0,0,0.00146806,0.00146806,0.00146806
20,315.727,1.6206,1.42208,1.89165,0.03448,0,0,0,0,0,0,0,0,0.00143851,0.00143851,0.00143851
21,331.631,1.59077,1.436,1.8723,0.03414,0,0,0,0,0,0,0,0,0.00140896,0.00140896,0.00140896
22,347.539,1.62077,1.41538,1.89777,0.03747,0,0,0,0,0,0,0,0,0.0013794,0.0013794,0.0013794
23,363.421,1.58192,1.41748,1.8611,0.03329,0,0,0,0,0,0,0,0,0.00134985,0.00134985,0.00134985
24,379.301,1.54824,1.37382,1.84189,0.0312,0,0,0,0,0,0,0,0,0.0013203,0.0013203,0.0013203
25,395.148,1.57626,1.40149,1.86595,0.03342,0,0,0,0,0,0,0,0,0.00129075,0.00129075,0.00129075
26,411.059,1.52062,1.32902,1.84019,0.03103,0,0,0,0,0,0,0,0,0.00126119,0.00126119,0.00126119
27,426.969,1.54875,1.34671,1.83454,0.0309,0,0,0,0,0,0,0,0,0.00123164,0.00123164,0.00123164
28,442.912,1.54435,1.35918,1.83131,0.03381,0,0,0,0,0,0,0,0,0.00120209,0.00120209,0.00120209
29,458.75,1.54254,1.35958,1.83035,0.03296,0,0,0,0,0,0,0,0,0.00117254,0.00117254,0.00117254
30,474.56,1.50919,1.27636,1.81405,0.02865,0,0,0,0,0,0,0,0,0.00114299,0.00114299,0.00114299
31,490.432,1.51753,1.26349,1.82852,0.02841,0,0,0,0,0,0,0,0,0.00111343,0.00111343,0.00111343
32,506.288,1.55141,1.3101,1.84357,0.03196,0,0,0,0,0,0,0,0,0.00108388,0.00108388,0.00108388
33,522.199,1.52997,1.30702,1.83115,0.03154,0,0,0,0,0,0,0,0,0.00105433,0.00105433,0.00105433
34,538.047,1.50081,1.27006,1.78794,0.02985,0,0,0,0,0,0,0,0,0.00102478,0.00102478,0.00102478
35,553.99,1.48596,1.22555,1.76567,0.02955,0,0,0,0,0,0,0,0,0.000995224,0.000995224,0.000995224
36,569.806,1.44949,1.23936,1.74578,0.02763,0,0,0,0,0,0,0,0,0.000965672,0.000965672,0.000965672
37,585.672,1.46647,1.19311,1.74851,0.02683,0,0,0,0,0,0,0,0,0.000936119,0.000936119,0.000936119
38,601.61,1.42064,1.16606,1.73921,0.02647,0,0,0,0,0,0,0,0,0.000906567,0.000906567,0.000906567
39,617.481,1.43069,1.1832,1.74894,0.02873,0,0,0,0,0,0,0,0,0.000877015,0.000877015,0.000877015
40,633.342,1.40002,1.14898,1.73428,0.02503,0,0,0,0,0,0,0,0,0.000847463,0.000847463,0.000847463
41,649.203,1.4028,1.12822,1.73102,0.02751,0,0,0,0,0,0,0,0,0.00081791,0.00081791,0.00081791
42,665.07,1.40239,1.12075,1.72492,0.02484,0,0,0,0,0,0,0,0,0.000788358,0.000788358,0.000788358
43,680.925,1.38459,1.12906,1.70918,0.02777,0,0,0,0,0,0,0,0,0.000758806,0.000758806,0.000758806
44,696.897,1.35495,1.08395,1.66701,0.02429,0,0,0,0,0,0,0,0,0.000729254,0.000729254,0.000729254
45,712.797,1.35287,1.05714,1.68915,0.02563,0,0,0,0,0,0,0,0,0.000699701,0.000699701,0.000699701
46,728.759,1.35981,1.09335,1.65083,0.02629,0,0,0,0,0,0,0,0,0.000670149,0.000670149,0.000670149
47,744.654,1.30436,0.99296,1.60488,0.02618,0,0,0,0,0,0,0,0,0.000640597,0.000640597,0.000640597
48,760.584,1.31755,1.01676,1.65234,0.02377,0,0,0,0,0,0,0,0,0.000611045,0.000611045,0.000611045
49,776.463,1.30388,1.03143,1.63701,0.02504,0,0,0,0,0,0,0,0,0.000581493,0.000581493,0.000581493
50,792.345,1.27787,0.96743,1.58994,0.0231,0,0,0,0,0,0,0,0,0.00055194,0.00055194,0.00055194
51,808.228,1.28915,1.00548,1.61247,0.02202,0,0,0,0,0,0,0,0,0.000522388,0.000522388,0.000522388
52,824.175,1.25151,0.97804,1.59262,0.0263,0,0,0,0,0,0,0,0,0.000492836,0.000492836,0.000492836
53,840.091,1.22963,0.93703,1.58229,0.02299,0,0,0,0,0,0,0,0,0.000463284,0.000463284,0.000463284
54,855.901,1.24706,0.94917,1.60672,0.02334,0,0,0,0,0,0,0,0,0.000433731,0.000433731,0.000433731
55,871.767,1.24584,0.93947,1.59027,0.02434,0,0,0,0,0,0,0,0,0.000404179,0.000404179,0.000404179
56,887.635,1.23743,0.95021,1.57796,0.02366,0,0,0,0,0,0,0,0,0.000374627,0.000374627,0.000374627
57,903.582,1.25308,0.94199,1.59348,0.02609,0,0,0,0,0,0,0,0,0.000345075,0.000345075,0.000345075
