epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.587,2.72958,3.18567,3.38432,0.11618,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,20.0932,2.12597,1.87063,2.30505,0.0742,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,29.6489,1.97014,1.77108,2.18502,0.06196,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,39.3787,1.94326,1.7464,2.0756,0.05707,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,49.105,1.88215,1.69787,1.99068,0.05502,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,58.7284,1.82357,1.67092,1.93023,0.05372,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,68.5221,1.78238,1.62209,1.87111,0.05106,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,77.773,1.76793,1.59494,1.82931,0.05037,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,87.1927,1.69392,1.55908,1.7816,0.04576,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,96.9934,1.71776,1.55496,1.77116,0.04683,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,106.756,1.663,1.49962,1.75013,0.04194,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,116.225,1.67197,1.50545,1.74994,0.04746,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,125.31,1.6491,1.45066,1.72317,0.04102,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,134.76,1.61164,1.42465,1.7031,0.0411,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,144.417,1.59152,1.42413,1.6894,0.03917,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,154.399,1.60538,1.40782,1.69615,0.03542,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,164.045,1.56312,1.38969,1.6861,0.03909,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,174.024,1.54996,1.36652,1.66726,0.03776,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,183.558,1.55054,1.36096,1.66612,0.03883,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,193.015,1.50898,1.33494,1.62445,0.03578,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,202.929,1.52449,1.34526,1.63222,0.03626,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,212.326,1.54076,1.34076,1.65808,0.03702,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
23,221.833,1.51457,1.29217,1.62937,0.03699,0,0,0,0,0,0,0,0,0.00119333,0.00119333,0.00119333
24,231.489,1.50928,1.28736,1.62951,0.03459,0,0,0,0,0,0,0,0,0.00115667,0.00115667,0.00115667
25,241.118,1.46151,1.24143,1.57041,0.03044,0,0,0,0,0,0,0,0,0.00112,0.00112,0.00112
26,250.154,1.46947,1.23232,1.58516,0.0307,0,0,0,0,0,0,0,0,0.00108333,0.00108333,0.00108333
27,259.969,1.43386,1.23166,1.57782,0.03032,0,0,0,0,0,0,0,0,0.00104667,0.00104667,0.00104667
28,269.592,1.41557,1.20892,1.5709,0.03212,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
29,279.507,1.4082,1.17161,1.55195,0.03077,0,0,0,0,0,0,0,0,0.000973333,0.000973333,0.000973333
30,288.604,1.43591,1.20946,1.57544,0.03334,0,0,0,0,0,0,0,0,0.000936667,0.000936667,0.000936667
