epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6746,2.67606,3.18029,3.45561,0.11816,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,20.5334,2.14378,1.90319,2.43869,0.07202,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,30.7382,1.99698,1.78574,2.18573,0.0618,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,40.2132,1.92453,1.72423,2.06745,0.05971,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,50.6274,1.88474,1.74449,1.97912,0.05837,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,60.7436,1.82297,1.65014,1.87875,0.05425,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,70.8054,1.78719,1.6258,1.9021,0.04992,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,80.9575,1.74525,1.60098,1.844,0.04648,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,90.7315,1.72017,1.55152,1.80178,0.04476,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,100.933,1.70698,1.56622,1.81739,0.04378,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,110.915,1.67083,1.50713,1.80292,0.03958,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,120.969,1.63308,1.4872,1.75825,0.04387,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,131.193,1.62739,1.49523,1.74419,0.04166,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,141.294,1.60427,1.40433,1.72856,0.03747,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,151.26,1.60211,1.40241,1.72133,0.04036,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,161.491,1.62422,1.4217,1.72567,0.04116,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,171.385,1.58888,1.41439,1.71217,0.03939,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,181.01,1.56296,1.39308,1.69488,0.03796,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,191.054,1.56507,1.39325,1.70736,0.03719,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,201.338,1.54485,1.34631,1.68198,0.0357,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,211.027,1.54545,1.37795,1.67836,0.03815,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,220.909,1.52923,1.29512,1.65067,0.03415,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
23,230.97,1.51827,1.31071,1.65509,0.04062,0,0,0,0,0,0,0,0,0.00119333,0.00119333,0.00119333
24,241.015,1.49783,1.27676,1.6182,0.03683,0,0,0,0,0,0,0,0,0.00115667,0.00115667,0.00115667
25,251.104,1.47347,1.2533,1.61049,0.03433,0,0,0,0,0,0,0,0,0.00112,0.00112,0.00112
26,261.112,1.49295,1.2832,1.62817,0.03478,0,0,0,0,0,0,0,0,0.00108333,0.00108333,0.00108333
27,270.597,1.45171,1.22398,1.57795,0.03162,0,0,0,0,0,0,0,0,0.00104667,0.00104667,0.00104667
28,280.547,1.435,1.20096,1.59332,0.03353,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
29,290.052,1.42774,1.20522,1.58038,0.03283,0,0,0,0,0,0,0,0,0.000973333,0.000973333,0.000973333
30,300.321,1.44675,1.20537,1.60678,0.03554,0,0,0,0,0,0,0,0,0.000936667,0.000936667,0.000936667
31,309.872,1.38657,1.13986,1.54364,0.02955,0,0,0,0,0,0,0,0,0.0009,0.0009,0.0009
32,319.909,1.3763,1.15251,1.54624,0.03188,0,0,0,0,0,0,0,0,0.000863333,0.000863333,0.000863333
33,329.534,1.39576,1.15894,1.56363,0.03144,0,0,0,0,0,0,0,0,0.000826667,0.000826667,0.000826667
34,339.657,1.36486,1.1312,1.55706,0.03148,0,0,0,0,0,0,0,0,0.00079,0.00079,0.00079
