epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5678,2.31871,2.60954,3.60131,0.06678,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,20.2127,2.01364,1.73628,2.46451,0.05494,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,30.0838,1.93222,1.63263,2.21227,0.05215,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,39.4106,1.83535,1.62263,2.12041,0.05059,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,49.1709,1.81987,1.61066,1.99262,0.04915,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,59.3754,1.76417,1.57267,1.92475,0.04672,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,69.463,1.73937,1.52255,1.88233,0.04585,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,79.2127,1.68655,1.49719,1.85342,0.04011,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,89.2562,1.66521,1.45908,1.79311,0.0395,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,98.8901,1.66961,1.47152,1.83378,0.03788,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,108.505,1.60518,1.42381,1.78245,0.03545,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,118.4,1.61511,1.41927,1.77381,0.03829,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,128.263,1.59603,1.4113,1.77749,0.03443,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,138.148,1.5707,1.34834,1.74461,0.03138,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,148.341,1.55529,1.32034,1.73595,0.03444,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,158.192,1.54013,1.32718,1.71119,0.03309,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,168.227,1.5675,1.33003,1.74899,0.03244,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,178.125,1.54029,1.32462,1.71279,0.03135,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,188.058,1.5093,1.29796,1.70738,0.03009,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
