epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2536,1.29814,1.61399,3.37928,0.02045,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,38.5778,1.17785,0.92551,2.04652,0.01791,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,56.3587,1.12214,0.86589,1.84455,0.01812,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,74.334,1.0917,0.85058,1.78939,0.01614,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,92.5362,1.03249,0.79626,1.68461,0.01518,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,110.264,1.04191,0.80664,1.59794,0.01696,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,128.38,0.99266,0.77272,1.51164,0.01439,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,146.164,0.97874,0.73714,1.48531,0.0139,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,164.377,0.94642,0.75092,1.41086,0.01445,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,182.167,0.96548,0.74993,1.4551,0.01477,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,199.992,0.91362,0.71947,1.38983,0.01209,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,217.993,0.92652,0.71467,1.36798,0.01409,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,235.656,0.87763,0.66649,1.30012,0.01349,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,253.505,0.87907,0.66364,1.28845,0.01383,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,271.606,0.84614,0.64427,1.27953,0.01186,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,289.398,0.8373,0.64347,1.23676,0.01248,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,307.333,0.82477,0.62837,1.22475,0.01265,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,325.138,0.84335,0.63924,1.2083,0.01346,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,343.15,0.83247,0.6312,1.19468,0.01353,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,361.304,0.78638,0.59563,1.1808,0.01318,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,378.702,0.80478,0.60855,1.19338,0.01136,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,396.703,0.80511,0.60115,1.17468,0.0116,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
23,414.426,0.78806,0.5831,1.17362,0.01042,0,0,0,0,0,0,0,0,0.00119333,0.00119333,0.00119333
24,432.248,0.79711,0.59226,1.1615,0.01054,0,0,0,0,0,0,0,0,0.00115667,0.00115667,0.00115667
25,450.068,0.75677,0.56843,1.12358,0.00975,0,0,0,0,0,0,0,0,0.00112,0.00112,0.00112
26,467.774,0.74841,0.55969,1.14322,0.00982,0,0,0,0,0,0,0,0,0.00108333,0.00108333,0.00108333
27,485.822,0.75896,0.55612,1.13612,0.00975,0,0,0,0,0,0,0,0,0.00104667,0.00104667,0.00104667
28,503.47,0.75187,0.54971,1.12299,0.01091,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
29,521.233,0.73148,0.53815,1.11829,0.00899,0,0,0,0,0,0,0,0,0.000973333,0.000973333,0.000973333
30,539.097,0.74281,0.5553,1.13086,0.0103,0,0,0,0,0,0,0,0,0.000936667,0.000936667,0.000936667
31,557.104,0.73786,0.5487,1.12525,0.01048,0,0,0,0,0,0,0,0,0.0009,0.0009,0.0009
32,574.902,0.72017,0.53314,1.11932,0.00963,0,0,0,0,0,0,0,0,0.000863333,0.000863333,0.000863333
33,592.643,0.71789,0.52633,1.10554,0.01009,0,0,0,0,0,0,0,0,0.000826667,0.000826667,0.000826667
34,610.876,0.70997,0.52822,1.09663,0.00935,0,0,0,0,0,0,0,0,0.00079,0.00079,0.00079
35,628.942,0.69559,0.51851,1.09526,0.01066,0,0,0,0,0,0,0,0,0.000753333,0.000753333,0.000753333
36,646.532,0.70641,0.51625,1.09041,0.00953,0,0,0,0,0,0,0,0,0.000716667,0.000716667,0.000716667
37,664.152,0.69426,0.50173,1.0896,0.00941,0,0,0,0,0,0,0,0,0.00068,0.00068,0.00068
38,681.288,0.68794,0.50145,1.09036,0.01005,0,0,0,0,0,0,0,0,0.000643333,0.000643333,0.000643333
39,699.004,0.68614,0.49591,1.09191,0.0081,0,0,0,0,0,0,0,0,0.000606667,0.000606667,0.000606667
40,717.184,0.6806,0.49546,1.07801,0.00874,0,0,0,0,0,0,0,0,0.00057,0.00057,0.00057
41,734.789,0.66688,0.48885,1.06901,0.00925,0,0,0,0,0,0,0,0,0.000533333,0.000533333,0.000533333
42,752.628,0.67432,0.49142,1.07011,0.00933,0,0,0,0,0,0,0,0,0.000496667,0.000496667,0.000496667
43,770.216,0.65781,0.47687,1.07174,0.00863,0,0,0,0,0,0,0,0,0.00046,0.00046,0.00046
44,787.878,0.65173,0.46588,1.0549,0.00865,0,0,0,0,0,0,0,0,0.000423333,0.000423333,0.000423333
45,806.852,0.58976,0.43916,1.03042,0.00213,0,0,0,0,0,0,0,0,0.000386667,0.000386667,0.000386667
46,822.277,0.59483,0.41947,1.01813,0.00234,0,0,0,0,0,0,0,0,0.00035,0.00035,0.00035
47,837.504,0.60591,0.43102,1.02816,0.00223,0,0,0,0,0,0,0,0,0.000313333,0.000313333,0.000313333
48,852.702,0.57418,0.40826,1.00497,0.00266,0,0,0,0,0,0,0,0,0.000276667,0.000276667,0.000276667
49,868.59,0.55755,0.39882,0.98807,0.00191,0,0,0,0,0,0,0,0,0.00024,0.00024,0.00024
50,884.084,0.56018,0.40173,0.98991,0.0019,0,0,0,0,0,0,0,0,0.000203333,0.000203333,0.000203333
51,899.436,0.55658,0.39617,1.00134,0.00196,0,0,0,0,0,0,0,0,0.000166667,0.000166667,0.000166667
52,914.624,0.53863,0.37879,0.98455,0.00175,0,0,0,0,0,0,0,0,0.00013,0.00013,0.00013
53,929.775,0.53168,0.38181,0.9733,0.00154,0,0,0,0,0,0,0,0,9.33333e-05,9.33333e-05,9.33333e-05
54,946.699,0.53551,0.37949,0.97908,0.00168,0.95165,0.90238,0.93773,0.80899,0.5671,0.53337,1.04433,0.00184,5.66667e-05,5.66667e-05,5.66667e-05
